date,price,ticker,vol,momentum,z,regime,position,ema_fast,ema_medium,ema_slow,atr
2024-10-08,112.46875,TY1 COMB Comdty,0.05697449785431536,0.01337463043784326,0.23474766679019074,neutral,0,113.91761023488068,113.24223808639502,112.27597873785453,0.3538935553499275
2024-10-09,112.203125,TY1 COMB Comdty,0.05689854660048888,0.007859649122807122,0.13813444441724265,neutral,0,113.75432592679681,113.20816880487386,112.27477454384041,0.3421244146366038
2024-10-10,112.078125,TY1 COMB Comdty,0.05692767419681098,0.005748738081884364,0.10098318898484704,neutral,0,113.59468774329235,113.17111818832062,112.2715241381571,0.31317449268505665
2024-10-11,112.25,TY1 COMB Comdty,0.05683690527476711,0.009272267490868291,0.16313814846257538,neutral,0,113.46662224393118,113.14091759198223,112.27116836727848,0.2943345603270491
2024-10-14,111.859375,TY1 COMB Comdty,0.05682803828225984,0.009304948540814983,0.16373868995086768,neutral,0,113.3135510778425,113.09889980208116,112.26436186533999,0.30717328561677587
2024-10-15,112.4375,TY1 COMB Comdty,0.05769064688278797,0.015523567598080712,0.26908291788824046,mod_long,1,113.2301176418575,113.07721456266866,112.26722365268975,0.34330018086787245
2024-10-16,112.53125,TY1 COMB Comdty,0.05765369518516562,0.014937993235625724,0.2590986265086664,mod_long,1,113.16355881882345,113.05931408520411,112.27158772454612,0.3100268234188228
2024-10-17,112.046875,TY1 COMB Comdty,0.05825520807132371,0.01242411407595645,0.21327044374719614,neutral,0,113.0572079789355,113.02611936109906,112.26787346463628,0.3332732469629798
2024-10-18,112.21875,TY1 COMB Comdty,0.05828829289339676,0.012833168805528095,0.22016717540516462,neutral,0,112.9773548380845,112.99964823450564,112.26706150654313,0.31175348070124914
2024-10-21,111.515625,TY1 COMB Comdty,0.05932416454935878,0.002810172825628676,0.04736978340909566,neutral,0,112.83814247255263,112.95099173501364,112.25464106841847,0.3639363499410826
2024-10-22,111.34375,TY1 COMB Comdty,0.05935821307838848,0.0,0.0,neutral,0,112.69581937992858,112.89829528468532,112.23958501770082,0.3383281699489382
2024-10-23,111.03125,TY1 COMB Comdty,0.059491307672247286,-0.004761904761904745,-0.08004370635352794,neutral,0,112.53728896279252,112.83708068518743,112.2196125380694,0.3348844139557465
2024-10-24,111.28125,TY1 COMB Comdty,0.05949309264245857,-0.004751257685858046,-0.0798623415731998,neutral,0,112.41766620443133,112.78606984305014,112.20410241347322,0.3235664920949803
2024-10-25,111.0625,TY1 COMB Comdty,0.05702496190710636,-0.01483021483021485,-0.2600653176125442,mod_short,-1,112.28860275639025,112.72955935639276,112.18523295209351,0.3095909598156496
2024-10-28,110.703125,TY1 COMB Comdty,0.0508117534586331,-0.03011635865845308,-0.5927045734206247,mod_short,-1,112.13760487482926,112.66311888569135,112.16073529999281,0.31622883184022965
2024-10-29,110.75,TY1 COMB Comdty,0.050847190654984636,-0.029174085741679234,-0.5737600320858484,mod_short,-1,112.00545202960744,112.60039367632442,112.13741736114996,0.28031498759486567
2024-10-30,110.703125,TY1 COMB Comdty,0.04951981272646161,-0.023701253961692204,-0.47862163963772636,mod_short,-1,111.88142088393055,112.53818814595311,112.11371004939542,0.24918965591555026
2024-10-31,110.46875,TY1 COMB Comdty,0.04894554994567705,-0.02145328719723183,-0.43830924815518635,mod_short,-1,111.74688079974668,112.47033771493825,112.08652062709137,0.24721436846014355
2024-11-01,110.03125,TY1 COMB Comdty,0.049378689467325175,-0.023300970873786353,-0.47188313673664933,mod_short,-1,111.583487390247,112.39036762592389,112.05254921176756,0.2725857859987911
2024-11-04,110.359375,TY1 COMB Comdty,0.04947442750424399,-0.022963065430903318,-0.4641400939694252,mod_short,-1,111.46690525784253,112.32377770376243,112.02456286115982,0.2799910145322856
2024-11-05,110.40625,TY1 COMB Comdty,0.04914224090381784,-0.024975852076721372,-0.5082359212231409,mod_short,-1,111.36589047138133,112.26090794298334,111.99781388824809,0.2489088792613142
2024-11-06,109.546875,TY1 COMB Comdty,0.050733956702240436,-0.03589108910891092,-0.7074372164496674,mod_short,-1,111.19265090267834,112.17192325632814,111.95730250166548,0.3303043620264723
2024-11-07,110.1875,TY1 COMB Comdty,0.05230424129136832,-0.0314517236643318,-0.6013226248541764,mod_short,-1,111.0969222452804,112.10686019874362,111.92804956775366,0.37168044708960934
2024-11-08,110.28125,TY1 COMB Comdty,0.050521389153739035,-0.023654724028219665,-0.4682120666998525,mod_short,-1,111.0192391743013,112.04700412665366,111.90082974018749,0.33462305414432814
2024-11-11,109.90625,TY1 COMB Comdty,0.05075330332322741,-0.02831882856748169,-0.5579701558956752,mod_short,-1,110.91324020532022,111.97681546676337,111.8678614800191,0.34000664692508437
2024-11-12,109.421875,TY1 COMB Comdty,0.05129389389437247,-0.03353574385868063,-0.6537960235138219,mod_short,-1,110.77120542386115,111.89304692686949,111.82743195142375,0.3592557606684065
2024-11-13,109.421875,TY1 COMB Comdty,0.05075851542480273,-0.036461199779856956,-0.7183267570910967,mod_short,-1,110.6426977644458,111.81202489648032,111.78767067949939,0.3113549925792856
2024-11-14,109.546875,TY1 COMB Comdty,0.05036829480145623,-0.03813966250514478,-0.7572156781460487,mod_short,-1,110.53833369164143,111.73775768675965,111.75063273438369,0.2865076602353809
2024-11-15,109.53125,TY1 COMB Comdty,0.04946700873375336,-0.033236794924838,-0.6718982161166979,mod_short,-1,110.44242095910415,111.66541317243966,111.71394872224512,0.2503899722039968
2024-11-18,109.625,TY1 COMB Comdty,0.0488021071608701,-0.03586642847327193,-0.7349360623926071,mod_short,-1,110.36457134395138,111.59851437990064,111.6794206441915,0.22950464257679723
2024-11-19,109.84375,TY1 COMB Comdty,0.04908497321294062,-0.03301237964236592,-0.6725557228920445,mod_short,-1,110.3149693111941,111.54098112154323,111.64907898065115,0.2280706902332243
2024-11-20,109.6875,TY1 COMB Comdty,0.04911656881041699,-0.0337233310392292,-0.6865978600703255,mod_short,-1,110.25521032917561,111.48021124870574,111.61665618758254,0.21849459820212774
2024-11-21,109.5,TY1 COMB Comdty,0.0491492616538454,-0.035507844756399676,-0.7224491998776866,mod_short,-1,110.18328553592079,111.41528628973178,111.58167013489522,0.2143619851085107
2024-11-22,109.640625,TY1 COMB Comdty,0.04921887161944757,-0.032404853833425284,-0.6583827049911755,mod_short,-1,110.13160358011882,111.357100673675,111.5495867442358,0.20453038709404261
2024-11-25,110.53125,TY1 COMB Comdty,0.05217007755807335,-0.022252937111264637,-0.42654598484147704,mod_short,-1,110.16966514391703,111.33002360240697,111.53275473193439,0.2960096688148369
2024-11-26,110.328125,TY1 COMB Comdty,0.05149587896759675,-0.027812198815916234,-0.5400859131546579,mod_short,-1,110.18475655878208,111.29717446790183,111.51284349669581,0.283625046306192
2024-11-27,110.734375,TY1 COMB Comdty,0.051048454269796706,-0.028912030693340696,-0.5663644689521338,mod_short,-1,110.2371011722314,111.27872202633128,111.49997624881654,0.2999750401320331
2024-11-29,111.015625,TY1 COMB Comdty,0.05121560954968287,-0.028176720010942402,-0.5501588335800032,mod_short,-1,110.31124629868556,111.2700958943204,111.49197044305099,0.2974783681144286
2024-12-02,110.953125,TY1 COMB Comdty,0.050849546119265766,-0.031109291854277576,-0.611790944629316,mod_short,-1,110.37237760357266,111.25970340598204,111.48306390680222,0.26614791903250484
2024-12-03,110.8125,TY1 COMB Comdty,0.05086036271117498,-0.032337290216946424,-0.635805340213221,mod_short,-1,110.41429402228003,111.24504099922852,111.47198020586333,0.24941152982817086
2024-12-04,111.109375,TY1 COMB Comdty,0.050592486556929245,-0.03317471108089731,-0.655724067714431,mod_short,-1,110.48049221063432,111.24059293368005,111.46598673138627,0.2557399925177481
2024-12-05,111.0625,TY1 COMB Comdty,0.05057405060914972,-0.032398584263544805,-0.6406167564850608,mod_short,-1,110.53592152390725,111.23475382110037,111.4593175292146,0.22789132684871502
2024-12-06,111.328125,TY1 COMB Comdty,0.05092629562977487,-0.029291553133514947,-0.5751754132375805,mod_short,-1,110.61136947401131,111.23781517122822,111.45714905765735,0.23292248326888637
2024-12-09,111.0625,TY1 COMB Comdty,0.050793856346486005,-0.03358259687287557,-0.6611547003597191,mod_short,-1,110.65433428601023,111.2320671328273,111.4506259327374,0.23728281883303487
